rk,school,league,str,ofs,dfs,sos
1,University of Virginia,D1,3.48,1.74,-1.74,4.63
2,Baylor University,D1,3.40,1.69,-1.71,6.66
3,University of Oklahoma,D1,3.36,1.67,-1.69,8.65
4,University of Southern California,D1,3.15,1.55,-1.60,5.35
5,University of Illinois,D1,2.81,1.40,-1.41,4.67
6,University of Georgia,D1,2.72,1.36,-1.36,5.48
7,UCLA,D1,2.55,1.26,-1.29,5.65
8,Ohio State University,D1,2.52,1.25,-1.26,3.99
9,Duke University,D1,2.51,1.25,-1.25,4.93
10,Virginia Tech,D1,2.43,1.22,-1.21,2.96
11,University of Texas,D1,2.43,1.22,-1.21,6.26
12,Texas A&M University,D1,2.43,1.23,-1.20,4.69
13,Wake Forest University,D1,2.42,1.22,-1.20,3.40
14,North Carolina,D1,2.41,1.21,-1.21,3.65
15,TCU,D1,2.38,1.18,-1.19,5.61
16,Columbia University,D1,2.21,1.07,-1.13,4.67
17,California,D1,2.08,1.03,-1.05,3.08
18,Stanford University,D1,2.01,1.02,-1.00,2.93
19,University of South Florida,D1,2.00,0.99,-1.01,3.66
20,University of Florida,D1,1.98,1.00,-0.99,5.98
21,Florida State University,D1,1.97,0.99,-0.98,3.46
22,University of Mississippi,D1,1.96,0.98,-0.98,4.23
23,University of Minnesota,D1,1.96,0.98,-0.97,2.63
24,LSU,D1,1.95,0.98,-0.97,2.12
25,University of Louisville,D1,1.90,0.96,-0.94,2.00
26,Northwestern University,D1,1.90,0.97,-0.94,2.55
27,North Carolina State,D1,1.89,0.94,-0.95,2.88
28,Mississippi State University,D1,1.88,0.94,-0.94,2.59
29,Vanderbilt University,D1,1.84,0.92,-0.92,3.63
30,Oklahoma State University,D1,1.84,0.91,-0.93,2.26
31,University of Tulsa,D1,1.83,0.92,-0.91,3.22
32,Texas Tech University,D1,1.83,0.90,-0.93,4.25
33,University of Notre Dame,D1,1.79,0.91,-0.88,4.08
34,University of San Diego,D1,1.76,0.89,-0.88,2.98
35,Harvard University,D1,1.73,0.85,-0.87,2.41
36,University of Oregon,D1,1.66,0.84,-0.82,2.32
37,Drake University,D1,1.65,0.82,-0.83,2.26
38,San Diego State University,D1,1.59,0.81,-0.78,2.29
39,Princeton University,D1,1.55,0.76,-0.79,2.45
40,Tulane University,D1,1.50,0.75,-0.75,2.16
41,Georgia Tech,D1,1.44,0.73,-0.71,3.05
42,University of Washington,D1,1.43,0.73,-0.71,1.73
43,University of Tennessee,D1,1.42,0.72,-0.71,3.70
44,Wichita State University,D1,1.41,0.71,-0.70,0.96
45,University of South Carolina,D1,1.38,0.69,-0.69,3.32
46,Old Dominion University,D1,1.37,0.68,-0.68,1.18
47,Dartmouth College,D1,1.36,0.69,-0.68,3.18
48,University of Denver,D1,1.34,0.67,-0.68,1.65
49,University of Kentucky,D1,1.33,0.68,-0.65,2.35
50,SMU,D1,1.33,0.67,-0.65,0.91
51,Rice University,D1,1.30,0.65,-0.65,2.40
52,Cornell University,D1,1.28,0.63,-0.65,2.94
53,Indiana University-Bloomington,D1,1.26,0.62,-0.64,2.40
54,University of North Florida,D1,1.24,0.61,-0.64,1.50
55,University of Memphis,D1,1.22,0.60,-0.62,1.92
56,Auburn University,D1,1.17,0.59,-0.58,2.31
57,Clemson University,D1,1.15,0.56,-0.59,3.30
58,Penn State University,D1,1.15,0.57,-0.58,3.15
59,University of New Mexico,D1,1.11,0.54,-0.57,2.34
60,University of Alabama,D1,1.07,0.53,-0.54,1.70
61,Barry University,D2,1.06,0.52,-0.53,0.41
62,Brown University,D1,1.05,0.53,-0.52,1.23
63,University of Arkansas,D1,1.02,0.51,-0.51,1.66
64,Hawaii Pacific University,D2,1.02,0.48,-0.53,0.49
65,Univ. of Texas at San Antonio,D1,1.02,0.50,-0.51,1.83
66,Pepperdine,D1,1.01,0.51,-0.51,3.26
67,University of Iowa,D1,0.99,0.50,-0.48,1.59
68,Florida Gulf Coast University,D1,0.97,0.49,-0.48,1.18
69,Texas A&M-Corpus Christi,D1,0.95,0.48,-0.47,1.53
70,UC Santa Barbara,D1,0.95,0.49,-0.46,1.80
71,Michigan State University,D1,0.94,0.48,-0.46,1.55
72,Charlotte,D1,0.94,0.48,-0.46,0.66
73,UNLV,D1,0.94,0.48,-0.46,1.77
74,University of Nebraska,D1,0.93,0.47,-0.46,1.51
75,University of Michigan,D1,0.89,0.45,-0.44,4.17
76,UC Irvine,D1,0.85,0.42,-0.43,1.44
77,East Tennessee State University,D1,0.84,0.41,-0.43,2.14
78,Troy University,D1,0.83,0.43,-0.40,1.15
79,Loyola Marymount University,D1,0.79,0.40,-0.39,1.43
80,Cal Poly,D1,0.79,0.39,-0.39,1.71
81,University of Portland,D1,0.78,0.38,-0.39,0.90
82,Georgia Gwinnett College,NAIA,0.77,0.39,-0.39,0.30
83,UC Davis,D1,0.77,0.39,-0.38,0.97
84,Univ. of San Francisco,D1,0.75,0.36,-0.39,1.51
85,University of Pennsylvania,D1,0.73,0.36,-0.38,1.57
86,University of South Alabama,D1,0.73,0.35,-0.38,1.13
87,University of Miami (Florida),D1,0.70,0.36,-0.35,2.69
88,St. John's University,D1,0.69,0.34,-0.35,1.40
89,UNC Wilmington,D1,0.69,0.33,-0.36,1.59
90,Armstrong State University,D2,0.69,0.33,-0.36,0.42
91,"Univ. of Wisconsin, Green Bay",D1,0.64,0.32,-0.32,1.18
92,Fresno State,D1,0.62,0.30,-0.32,1.35
93,University of Central Florida,D1,0.62,0.31,-0.31,1.45
94,Boise State University,D1,0.61,0.30,-0.32,2.57
95,University of Utah,D1,0.61,0.30,-0.31,2.17
96,Utah State University,D1,0.54,0.27,-0.27,0.86
97,Brigham Young University,D1,0.51,0.26,-0.25,1.59
98,Florida Atlantic University,D1,0.51,0.26,-0.25,0.77
99,Virginia Commonwealth University,D1,0.51,0.26,-0.26,1.49
100,Middle Tennessee State University,D1,0.48,0.24,-0.24,1.18
101,Univ. of West Florida,D2,0.48,0.24,-0.24,0.36
102,Yale University,D1,0.47,0.24,-0.23,1.60
103,University of Arizona,D1,0.44,0.23,-0.22,2.00
104,College of William and Mary,D1,0.41,0.22,-0.20,0.85
105,University of Nevada,D1,0.40,0.19,-0.21,2.14
106,University of Wisconsin,D1,0.39,0.20,-0.18,2.67
107,Concordia College (New York),D2,0.36,0.16,-0.20,0.16
108,Coastal Carolina University,D1,0.34,0.18,-0.16,0.91
109,University of Texas at Arlington,D1,0.34,0.17,-0.17,1.88
110,South Carolina State,D1,0.30,0.15,-0.15,0.41
111,Furman University,D1,0.29,0.15,-0.15,2.20
112,University of Louisiana,D1,0.27,0.12,-0.15,1.54
113,"Univ. of Maryland, Baltimore County",D1,0.23,0.13,-0.11,0.51
114,University of Southern Mississippi,D1,0.21,0.08,-0.13,0.79
115,Georgia State University,D1,0.20,0.10,-0.10,1.56
116,Lamar University,D1,0.17,0.09,-0.08,0.87
117,Claremont-Mudd-Scripps Colleges,D3,0.14,0.07,-0.07,0.17
118,Auburn University Montgomery,NAIA,0.13,0.07,-0.06,0.16
119,Saint Leo University,D2,0.12,0.07,-0.06,0.52
120,Santa Clara University,D1,0.12,0.06,-0.06,1.40
121,Samford University,D1,0.12,0.06,-0.06,1.02
122,Stetson University,D1,0.09,0.06,-0.03,0.98
123,Northern Illinois University,D1,0.06,0.02,-0.04,0.51
124,Western Michigan University,D1,0.05,0.03,-0.02,0.67
125,DePaul University,D1,0.05,0.01,-0.04,0.79
126,University at Buffalo,D1,0.04,0.02,-0.02,0.98
127,College of Charleston,D1,0.03,0.02,-0.01,0.70
128,Lander University,D2,0.03,0.02,-0.01,0.32
129,George Washington University,D1,0.01,0.00,-0.01,1.67
130,Elon University,D1,0.00,0.00,0.00,0.87
131,Cleveland State University,D1,-0.03,0.00,0.03,0.44
132,Marquette,D1,-0.05,-0.02,0.03,1.22
133,University of the Pacific (California),D1,-0.06,-0.01,0.05,1.74
134,Gonzaga University,D1,-0.06,-0.04,0.02,0.93
135,Illinois State University,D1,-0.06,-0.03,0.04,1.05
136,Mercer University,D1,-0.08,-0.04,0.04,1.08
137,UAB,D1,-0.08,-0.03,0.05,1.16
138,Georgia Southern University,D1,-0.09,-0.04,0.05,1.08
139,Campbell University,D1,-0.09,-0.04,0.04,0.55
140,Appalachian State University,D1,-0.10,-0.06,0.04,0.66
141,Presbyterian College,D1,-0.11,-0.05,0.06,0.48
142,Lindsey Wilson (Ky.),NAIA,-0.12,-0.05,0.06,0.08
143,Winthrop University,D1,-0.15,-0.07,0.08,0.77
144,Binghamton University,D1,-0.16,-0.08,0.07,1.69
145,Wofford,D1,-0.17,-0.08,0.10,0.68
146,Liberty University,D1,-0.18,-0.08,0.10,0.71
147,UNC Greensboro,D1,-0.19,-0.08,0.11,0.80
148,New York Institute of Technology,D2,-0.20,-0.10,0.10,0.21
149,Kennesaw State University,D1,-0.21,-0.10,0.11,0.99
150,Gardner-Webb University,D1,-0.21,-0.10,0.11,1.03
151,Purdue University,D1,-0.25,-0.13,0.12,2.85
152,Xavier University,D1,-0.26,-0.12,0.14,0.63
153,East Carolina University,D1,-0.30,-0.14,0.16,0.73
154,University of Richmond,D1,-0.31,-0.16,0.15,0.37
155,Nicholls State University,D1,-0.31,-0.18,0.13,1.01
156,University of Hawaii,D1,-0.31,-0.17,0.15,1.66
157,Grand Canyon University,D1,-0.32,-0.17,0.15,0.40
158,Columbus State University,D2,-0.34,-0.17,0.17,0.21
159,New Mexico State University,D1,-0.35,-0.19,0.15,0.88
160,Belmont University,D1,-0.35,-0.18,0.16,0.51
161,Northern Arizona University,D1,-0.35,-0.18,0.17,0.58
162,Monmouth University,D1,-0.35,-0.17,0.18,0.42
163,Valparaiso University,D1,-0.37,-0.19,0.18,0.37
164,Emory University,D3,-0.38,-0.20,0.18,0.24
165,University of Texas-Pan American,D1,-0.38,-0.19,0.20,0.97
166,"University of South Carolina, Upstate",D1,-0.39,-0.19,0.20,1.08
167,Montana,D1,-0.40,-0.20,0.20,1.14
168,Weber State,D1,-0.41,-0.20,0.21,0.46
169,Tennessee Tech University,D1,-0.41,-0.20,0.21,0.95
170,University of Toledo,D1,-0.44,-0.21,0.22,0.88
171,Ball State University,D1,-0.44,-0.22,0.22,1.26
172,UNC Asheville,D1,-0.45,-0.22,0.23,0.37
173,University of Idaho,D1,-0.45,-0.24,0.21,0.43
174,Eastern Kentucky University,D1,-0.45,-0.22,0.24,0.42
175,U.S. Military Academy,D1,-0.46,-0.22,0.24,0.34
176,Butler University,D1,-0.50,-0.24,0.26,0.82
177,UMKC,D1,-0.51,-0.26,0.25,0.49
178,Marist College,D1,-0.52,-0.28,0.24,0.43
179,"Southern Illinois, Carbondale",D1,-0.52,-0.26,0.26,1.05
180,U.S. Air Force Academy,D1,-0.52,-0.26,0.26,0.55
181,NJIT,D1,-0.52,-0.26,0.27,0.54
182,Lynn University,D2,-0.53,-0.25,0.27,0.46
183,Austin Peay State University,D1,-0.53,-0.25,0.28,0.52
184,U.S. Naval Academy,D1,-0.54,-0.26,0.28,0.35
185,Univ. of Incarnate Word,D1,-0.54,-0.26,0.28,1.82
186,Davidson College,D1,-0.55,-0.27,0.29,0.37
187,Midwestern State University,D2,-0.56,-0.28,0.27,0.23
188,Lipscomb University,D1,-0.57,-0.28,0.29,0.90
189,Rollins College,D2,-0.58,-0.28,0.30,0.43
190,Saint Mary's College of California,D1,-0.61,-0.30,0.31,1.36
191,Mount Olive College,D2,-0.64,-0.31,0.33,0.08
192,Boston College,D1,-0.65,-0.34,0.31,1.38
