rd,name,p
2,Baylor,0.996
2,Mississippi,0.990
2,Oklahoma,0.985
2,USC,0.984
2,Texas A&M,0.979
2,TCU,0.973
2,Texas,0.968
2,Georgia,0.965
2,Virginia,0.957
2,Ohio State,0.953
2,Duke,0.940
2,Wake Forest,0.939
2,Illinois,0.937
2,North Carolina,0.903
2,UCLA,0.858
2,South Florida,0.841
2,Virginia Tech,0.836
2,California,0.777
2,Florida State,0.773
2,Texas Tech,0.754
2,LSU,0.730
2,Florida,0.726
2,Columbia,0.721
2,Mississippi St.,0.716
2,Oklahoma State,0.701
2,Stanford,0.699
2,Minnesota,0.669
2,San Diego,0.625
2,Northwestern,0.589
2,Louisville,0.588
2,NC State,0.546
2,Vanderbilt,0.522
2,Notre Dame,0.478
2,Tulsa,0.454
2,Drake,0.412
2,Harvard,0.411
2,San Diego State,0.375
2,Princeton,0.331
2,Tennessee,0.301
2,New Mexico,0.299
2,Denver,0.284
2,Georgia Tech,0.279
2,Pepperdine,0.274
2,UTSA,0.270
2,UC Santa Barb.,0.246
2,Troy,0.227
2,Texas A&M-C.C.,0.223
2,East Tenn. St.,0.164
2,Boise State,0.159
2,FGCU,0.142
2,William & Mary,0.097
2,Green Bay,0.063
2,Geo. Washington,0.061
2,S. Carolina St.,0.060
2,Buffalo,0.047
2,St. John's,0.043
2,Winthrop,0.035
2,Navy,0.032
2,Marist,0.027
2,Eastern Kentucky,0.021
2,Idaho,0.016
2,New Mexico St.,0.015
2,Alabama State,0.010
2,Bryant,0.004
3,Baylor,0.880
3,Oklahoma,0.825
3,Virginia,0.812
3,USC,0.801
3,Texas A&M,0.768
3,Illinois,0.742
3,Georgia,0.718
3,TCU,0.687
3,Ohio State,0.665
3,Wake Forest,0.661
3,Texas,0.651
3,UCLA,0.624
3,North Carolina,0.610
3,Duke,0.602
3,Virginia Tech,0.522
3,Mississippi,0.456
3,Columbia,0.438
3,South Florida,0.407
3,Stanford,0.310
3,California,0.309
3,Mississippi St.,0.302
3,Texas Tech,0.285
3,Florida,0.275
3,Florida State,0.248
3,Oklahoma State,0.188
3,NC State,0.179
3,Vanderbilt,0.177
3,Louisville,0.158
3,Notre Dame,0.153
3,San Diego,0.141
3,Minnesota,0.139
3,Tulsa,0.132
3,Northwestern,0.114
3,Georgia Tech,0.105
3,LSU,0.104
3,Drake,0.087
3,Tennessee,0.081
3,Denver,0.069
3,Harvard,0.060
3,San Diego State,0.057
3,Pepperdine,0.055
3,FGCU,0.047
3,East Tenn. St.,0.044
3,UC Santa Barb.,0.044
3,New Mexico,0.042
3,Princeton,0.041
3,Texas A&M-C.C.,0.038
