BEGIN
 rd |          name          |      team      |   p   
----+------------------------+----------------+-------
  3 | Axel Alvarez Llamas    | Oklahoma       | 0.910
  3 | Thai-Son Kwiatkowski   | Virginia       | 0.879
  3 | Noah Rubin             | Wake Forest    | 0.877
  3 | Mikelis Libietis       | Tennessee      | 0.874
  3 | Ryan Shane             | Virginia       | 0.847
  3 | Søren Hess-Olesen      | Texas          | 0.800
  3 | Julian Lenz            | Baylor         | 0.799
  3 | Yannick Hanfmann       | USC            | 0.792
  3 | Sebastian Stiefelmeyer | Louisville     | 0.759
  3 | Romain Bogaerts        | Wake Forest    | 0.747
  3 | Guillermo Nuñez        | TCU            | 0.710
  3 | Quentin Monaghan       | Notre Dame     | 0.641
  3 | Dominik Koepfer        | Tulane         | 0.634
  3 | Ronnie Schneider       | North Carolina | 0.623
  3 | Felipe Soares          | Texas Tech     | 0.601
  3 | Nicolas Alvarez        | Duke           | 0.587
  3 | Winston Lin            | Columbia       | 0.413
  3 | Tin Ostojic            | Wichita State  | 0.399
  3 | Lloyd Glasspool        | Texas          | 0.377
  3 | Jared Hiltzik          | Illinois       | 0.366
  3 | Roberto Quiroz         | USC            | 0.359
  3 | Jakob Sude             | Oklahoma State | 0.290
  3 | Jeremy Efferding       | Texas A&M      | 0.253
  3 | Austin Smith           | Georgia        | 0.241
  3 | Christopher Eubanks    | Georgia Tech   | 0.208
  3 | Jonny Wang             | USC            | 0.201
  3 | Cameron Norrie         | TCU            | 0.200
  3 | Benjamin Lock          | Florida State  | 0.153
  3 | Maxime Tchoutakian     | Baylor         | 0.126
  3 | Chris Diaz             | Ohio State     | 0.123
  3 | Denis Nguyen           | Harvard        | 0.121
  3 | Tony Lupieri           | Baylor         | 0.090
  4 | Noah Rubin             | Wake Forest    | 0.733
  4 | Julian Lenz            | Baylor         | 0.723
  4 | Axel Alvarez Llamas    | Oklahoma       | 0.686
  4 | Ryan Shane             | Virginia       | 0.575
  4 | Mikelis Libietis       | Tennessee      | 0.527
  4 | Quentin Monaghan       | Notre Dame     | 0.526
  4 | Sebastian Stiefelmeyer | Louisville     | 0.507
  4 | Dominik Koepfer        | Tulane         | 0.454
  4 | Søren Hess-Olesen      | Texas          | 0.402
  4 | Romain Bogaerts        | Wake Forest    | 0.324
  4 | Thai-Son Kwiatkowski   | Virginia       | 0.281
  4 | Roberto Quiroz         | USC            | 0.259
  4 | Nicolas Alvarez        | Duke           | 0.253
  4 | Ronnie Schneider       | North Carolina | 0.229
  4 | Jared Hiltzik          | Illinois       | 0.217
  4 | Yannick Hanfmann       | USC            | 0.195
  4 | Guillermo Nuñez        | TCU            | 0.180
  4 | Winston Lin            | Columbia       | 0.145
  4 | Jonny Wang             | USC            | 0.143
  4 | Lloyd Glasspool        | Texas          | 0.099
  4 | Austin Smith           | Georgia        | 0.095
  4 | Felipe Soares          | Texas Tech     | 0.091
  4 | Jeremy Efferding       | Texas A&M      | 0.057
  4 | Chris Diaz             | Ohio State     | 0.054
  4 | Cameron Norrie         | TCU            | 0.045
  4 | Benjamin Lock          | Florida State  | 0.045
  4 | Tin Ostojic            | Wichita State  | 0.043
  4 | Jakob Sude             | Oklahoma State | 0.036
  4 | Maxime Tchoutakian     | Baylor         | 0.025
  4 | Tony Lupieri           | Baylor         | 0.024
  4 | Christopher Eubanks    | Georgia Tech   | 0.019
  4 | Denis Nguyen           | Harvard        | 0.009
  5 | Noah Rubin             | Wake Forest    | 0.581
  5 | Axel Alvarez Llamas    | Oklahoma       | 0.508
  5 | Julian Lenz            | Baylor         | 0.436
  5 | Mikelis Libietis       | Tennessee      | 0.360
  5 | Ryan Shane             | Virginia       | 0.328
  5 | Søren Hess-Olesen      | Texas          | 0.258
  5 | Quentin Monaghan       | Notre Dame     | 0.239
